Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
53,1,1.0,119,119 wavelengths,2,0.3897031191281473
53,2,0.954357540733128,79,79 wavelengths,2,0.38744832769635473
53,3,0.9107983155541839,54,54 wavelengths,2,0.33258173618940245
53,4,0.8692272405361663,33,33 wavelengths,2,0.32130777903043967
53,5,0.8295535716163387,22,22 wavelengths,2,0.3216835776024051
53,6,0.7916907065141517,14,14 wavelengths,2,0.32093198045847426
53,7,0.7555559956901182,7,"414.29, 423.98, 462.77, 1322.58, 1521.95, 1561.82, 2276.60",2,0.3205561818865088
53,8,0.721070561932991,4,"1322.58, 1521.95, 1561.82, 2276.60",2,0.32130777903043967
53,9,0.6881591281814239,4,"1322.58, 1521.95, 1561.82, 2276.60",2,0.32130777903043967
53,10,0.656749853204277,2,"1322.58, 1521.95",2,0.32130777903043967
53,11,0.6267741747808766,2,"1322.58, 1521.95",2,0.32130777903043967
53,12,0.5981666600389132,2,"1322.58, 1521.95",2,0.32130777903043967
53,13,0.5708648626232861,1,1521.95,1,0.3220593761743705
53,14,0.5448091863841141,1,1521.95,1,0.3220593761743705
53,15,0.5199427552863595,1,1521.95,1,0.3220593761743705
53,16,0.4962112892570966,1,1521.95,1,0.3220593761743705
53,17,0.4735629856994175,1,1521.95,1,0.3220593761743705
53,18,0.45194840641433354,1,1521.95,1,0.3220593761743705
53,19,0.43132036968383947,1,1521.95,1,0.3220593761743705
53,20,0.41163384727957264,1,1521.95,1,0.3220593761743705
53,21,0.3928458661722489,1,1521.95,1,0.3220593761743705
53,22,0.3749154147273229,1,1521.95,1,0.3220593761743705
53,23,0.35780335318210865,1,1521.95,1,0.3220593761743705
53,24,0.341472328208944,1,1521.95,1,0.3220593761743705
53,25,0.3258866913779032,1,1521.95,1,0.3220593761743705
53,26,0.3110124213410716,1,1521.95,1,0.3220593761743705
53,27,0.29681704956852045,1,1521.95,1,0.3220593761743705
53,28,0.28326958947387604,1,1521.95,1,0.3220593761743705
53,29,0.27034046877477114,1,1521.95,1,0.3220593761743705
53,30,0.2580014649405315,1,1521.95,1,0.3220593761743705
53,31,0.24622564358619,1,1521.95,1,0.3220593761743705
53,32,0.23498729967834794,1,1521.95,1,0.3220593761743705
53,33,0.22426190142454666,1,1521.95,1,0.3220593761743705
53,34,0.21402603672366552,1,1521.95,1,0.3220593761743705
53,35,0.20425736206045553,1,1521.95,1,0.3220593761743705
53,36,0.19493455373265248,1,1521.95,1,0.3220593761743705
53,37,0.18603726130420398,1,1521.95,1,0.3220593761743705
53,38,0.17754606318300636,1,1521.95,1,0.3220593761743705
53,39,0.16944242422618255,1,1521.95,1,0.3220593761743705
53,40,0.1617086552803589,1,1521.95,1,0.3220593761743705
53,41,0.15432787456862446,1,1521.95,1,0.3220593761743705
53,42,0.14728397083988307,1,1521.95,1,0.3220593761743705
53,43,0.14056156820016055,1,1521.95,1,0.3220593761743705
53,44,0.13414599254909704,1,1521.95,1,0.3220593761743705
53,45,0.12802323954836076,1,1521.95,1,0.3220593761743705
53,46,0.1221799440520617,1,1521.95,1,0.3220593761743705
53,47,0.11660335093243673,1,1521.95,1,0.3220593761743705
53,48,0.1112812872371222,1,1521.95,1,0.3220593761743705
53,49,0.10620213561723678,1,1521.95,1,0.3220593761743705
53,50,0.10135480896827219,1,1521.95,1,0.3220593761743705
53,51,0.09672872622843623,1,1521.95,1,0.3220593761743705
53,52,0.09231378928161843,1,1521.95,1,0.3220593761743705
53,53,0.0881003609145615,1,1521.95,1,0.3220593761743705
53,54,0.08407924378012192,1,1521.95,1,0.3220593761743705
53,55,0.08024166032069831,1,1521.95,1,0.3220593761743705
53,56,0.07657923360800463,1,1521.95,1,0.3220593761743705
53,57,0.07308396905736299,1,1521.95,1,0.3220593761743705
53,58,0.06974823697660097,1,1521.95,1,0.3220593761743705
53,59,0.06656475591146033,1,1521.95,1,0.3220593761743705
53,60,0.0635265767511622,1,1521.95,1,0.3220593761743705
53,61,0.06062706755943346,1,1521.95,1,0.3220593761743705
53,62,0.05785989909788212,1,1521.95,1,0.3220593761743705
53,63,0.05521903101012169,1,1521.95,1,0.3220593761743705
53,64,0.05269869863648607,1,1521.95,1,0.3220593761743705
53,65,0.050293400430553095,1,1521.95,1,0.3220593761743705
53,66,0.04799788595000907,1,1521.95,1,0.3220593761743705
53,67,0.045807144395639814,1,1521.95,1,0.3220593761743705
53,68,0.0437163936734301,1,1521.95,1,0.3220593761743705
53,69,0.04172106995589601,1,1521.95,1,0.3220593761743705
53,70,0.03981681771986371,1,1521.95,1,0.3220593761743705
53,71,0.03799948023894836,1,1521.95,1,0.3220593761743705
53,72,0.03626509050997986,1,1521.95,1,0.3220593761743705
53,73,0.03460986259356866,1,1521.95,1,0.3220593761743705
53,74,0.03303018334990966,1,1521.95,1,0.3220593761743705
53,75,0.0315226045517841,1,1521.95,1,0.3220593761743705
53,76,0.030083835357543567,1,1521.95,1,0.3220593761743705
53,77,0.028710735127645604,1,1521.95,1,0.3220593761743705
53,78,0.02740030656906009,1,1521.95,1,0.3220593761743705
53,79,0.026149689192581947,1,1521.95,1,0.3220593761743705
53,80,0.024956153068768163,1,1521.95,1,0.3220593761743705
53,81,0.02381709286886909,1,1521.95,1,0.3220593761743705
53,82,0.022730022177746417,1,1521.95,1,0.3220593761743705
53,83,0.021692568066363528,1,1521.95,1,0.3220593761743705
53,84,0.020702465912000683,1,1521.95,1,0.3220593761743705
53,85,0.019757554454888377,1,1521.95,1,0.3220593761743705
53,86,0.01885577108046814,1,1521.95,1,0.3220593761743705
53,87,0.0179951473169824,1,1521.95,1,0.3220593761743705
53,88,0.01717380453856566,1,1521.95,1,0.3220593761743705
53,89,0.01638994986445697,1,1521.95,1,0.3220593761743705
53,90,0.01564187224538241,1,1521.95,1,0.3220593761743705
53,91,0.01492793872856492,1,1521.95,1,0.3220593761743705
53,92,0.01424659089320804,1,1521.95,1,0.3220593761743705
53,93,0.013596341448672998,1,1521.95,1,0.3220593761743705
53,94,0.01297577098792345,1,1521.95,1,0.3220593761743705
53,95,0.0123835248891509,1,1521.95,1,0.3220593761743705
53,96,0.01181831035881753,1,1521.95,1,0.3220593761743705
53,97,0.011278893609661946,1,1521.95,1,0.3220593761743705
53,98,0.01076409716750757,1,1521.95,1,0.3220593761743705
53,99,0.010272797300994951,1,1521.95,1,0.3220593761743705
53,100,0.009803921568627453,1,1521.95,1,0.3220593761743705
