Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
102,1,1.0,114,114 wavelengths,2,0.3897031191281473
102,2,0.954357540733128,51,51 wavelengths,2,0.32093198045847426
102,3,0.9107983155541839,27,27 wavelengths,2,0.32093198045847426
102,4,0.8692272405361663,16,16 wavelengths,2,0.32093198045847426
102,5,0.8295535716163387,8,"385.26, 423.98, 762.38, 1781.00, 1790.96, 2026.67, 2336.36, 2366.22",2,0.32093198045847426
102,6,0.7916907065141517,5,"423.98, 762.38, 1781.00, 1790.96, 2366.22",2,0.32093198045847426
102,7,0.7555559956901182,3,"423.98, 762.38, 2366.22",2,0.3216835776024051
102,8,0.721070561932991,2,"423.98, 762.38",2,0.32130777903043967
102,9,0.6881591281814239,2,"423.98, 762.38",2,0.32130777903043967
102,10,0.656749853204277,1,423.98,1,0.21007140172867342
102,11,0.6267741747808766,1,423.98,1,0.21007140172867342
102,12,0.5981666600389132,1,423.98,1,0.21007140172867342
102,13,0.5708648626232861,1,423.98,1,0.21007140172867342
102,14,0.5448091863841141,1,423.98,1,0.21007140172867342
102,15,0.5199427552863595,1,423.98,1,0.21007140172867342
102,16,0.4962112892570966,1,423.98,1,0.21007140172867342
102,17,0.4735629856994175,1,423.98,1,0.21007140172867342
102,18,0.45194840641433354,1,423.98,1,0.21007140172867342
102,19,0.43132036968383947,1,423.98,1,0.21007140172867342
102,20,0.41163384727957264,1,423.98,1,0.21007140172867342
102,21,0.3928458661722489,1,423.98,1,0.21007140172867342
102,22,0.3749154147273229,1,423.98,1,0.21007140172867342
102,23,0.35780335318210865,1,423.98,1,0.21007140172867342
102,24,0.341472328208944,1,423.98,1,0.21007140172867342
102,25,0.3258866913779032,1,423.98,1,0.21007140172867342
102,26,0.3110124213410716,1,423.98,1,0.21007140172867342
102,27,0.29681704956852045,1,423.98,1,0.21007140172867342
102,28,0.28326958947387604,1,423.98,1,0.21007140172867342
102,29,0.27034046877477114,1,423.98,1,0.21007140172867342
102,30,0.2580014649405315,1,423.98,1,0.21007140172867342
102,31,0.24622564358619,1,423.98,1,0.21007140172867342
102,32,0.23498729967834794,1,423.98,1,0.21007140172867342
102,33,0.22426190142454666,1,423.98,1,0.21007140172867342
102,34,0.21402603672366552,1,423.98,1,0.21007140172867342
102,35,0.20425736206045553,1,423.98,1,0.21007140172867342
102,36,0.19493455373265248,1,423.98,1,0.21007140172867342
102,37,0.18603726130420398,1,423.98,1,0.21007140172867342
102,38,0.17754606318300636,1,423.98,1,0.21007140172867342
102,39,0.16944242422618255,1,423.98,1,0.21007140172867342
102,40,0.1617086552803589,1,423.98,1,0.21007140172867342
102,41,0.15432787456862446,1,423.98,1,0.21007140172867342
102,42,0.14728397083988307,1,423.98,1,0.21007140172867342
102,43,0.14056156820016055,1,423.98,1,0.21007140172867342
102,44,0.13414599254909704,1,423.98,1,0.21007140172867342
102,45,0.12802323954836076,1,423.98,1,0.21007140172867342
102,46,0.1221799440520617,1,423.98,1,0.21007140172867342
102,47,0.11660335093243673,1,423.98,1,0.21007140172867342
102,48,0.1112812872371222,1,423.98,1,0.21007140172867342
102,49,0.10620213561723678,1,423.98,1,0.21007140172867342
102,50,0.10135480896827219,1,423.98,1,0.21007140172867342
102,51,0.09672872622843623,1,423.98,1,0.21007140172867342
102,52,0.09231378928161843,1,423.98,1,0.21007140172867342
102,53,0.0881003609145615,1,423.98,1,0.21007140172867342
102,54,0.08407924378012192,1,423.98,1,0.21007140172867342
102,55,0.08024166032069831,1,423.98,1,0.21007140172867342
102,56,0.07657923360800463,1,423.98,1,0.21007140172867342
102,57,0.07308396905736299,1,423.98,1,0.21007140172867342
102,58,0.06974823697660097,1,423.98,1,0.21007140172867342
102,59,0.06656475591146033,1,423.98,1,0.21007140172867342
102,60,0.0635265767511622,1,423.98,1,0.21007140172867342
102,61,0.06062706755943346,1,423.98,1,0.21007140172867342
102,62,0.05785989909788212,1,423.98,1,0.21007140172867342
102,63,0.05521903101012169,1,423.98,1,0.21007140172867342
102,64,0.05269869863648607,1,423.98,1,0.21007140172867342
102,65,0.050293400430553095,1,423.98,1,0.21007140172867342
102,66,0.04799788595000907,1,423.98,1,0.21007140172867342
102,67,0.045807144395639814,1,423.98,1,0.21007140172867342
102,68,0.0437163936734301,1,423.98,1,0.21007140172867342
102,69,0.04172106995589601,1,423.98,1,0.21007140172867342
102,70,0.03981681771986371,1,423.98,1,0.21007140172867342
102,71,0.03799948023894836,1,423.98,1,0.21007140172867342
102,72,0.03626509050997986,1,423.98,1,0.21007140172867342
102,73,0.03460986259356866,1,423.98,1,0.21007140172867342
102,74,0.03303018334990966,1,423.98,1,0.21007140172867342
102,75,0.0315226045517841,1,423.98,1,0.21007140172867342
102,76,0.030083835357543567,1,423.98,1,0.21007140172867342
102,77,0.028710735127645604,1,423.98,1,0.21007140172867342
102,78,0.02740030656906009,1,423.98,1,0.21007140172867342
102,79,0.026149689192581947,1,423.98,1,0.21007140172867342
102,80,0.024956153068768163,1,423.98,1,0.21007140172867342
102,81,0.02381709286886909,1,423.98,1,0.21007140172867342
102,82,0.022730022177746417,1,423.98,1,0.21007140172867342
102,83,0.021692568066363528,1,423.98,1,0.21007140172867342
102,84,0.020702465912000683,1,423.98,1,0.21007140172867342
102,85,0.019757554454888377,1,423.98,1,0.21007140172867342
102,86,0.01885577108046814,1,423.98,1,0.21007140172867342
102,87,0.0179951473169824,1,423.98,1,0.21007140172867342
102,88,0.01717380453856566,1,423.98,1,0.21007140172867342
102,89,0.01638994986445697,1,423.98,1,0.21007140172867342
102,90,0.01564187224538241,1,423.98,1,0.21007140172867342
102,91,0.01492793872856492,1,423.98,1,0.21007140172867342
102,92,0.01424659089320804,1,423.98,1,0.21007140172867342
102,93,0.013596341448672998,1,423.98,1,0.21007140172867342
