Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
492,1,1.0,117,117 wavelengths,4,0.4832769635475385
492,2,0.954357540733128,53,53 wavelengths,4,0.4659902292371289
492,3,0.9107983155541839,32,32 wavelengths,4,0.4618564449455092
492,4,0.8692272405361663,17,17 wavelengths,4,0.4558436677940624
492,5,0.8295535716163387,10,"433.67, 1157.85, 1224.50, 1442.21, 1462.15, 1472.12, 1641.53, 1721.23, 2405.99, 2445.72",4,0.4517098835024427
492,6,0.7916907065141517,5,"433.67, 1224.50, 1472.12, 1641.53, 1721.23",4,0.5001878992859827
492,7,0.7555559956901182,4,"433.67, 1472.12, 1641.53, 1721.23",4,0.48515595640736564
492,8,0.721070561932991,2,"433.67, 1641.53",2,0.3130402104472003
492,9,0.6881591281814239,1,433.67,1,0.3047726418639609
492,10,0.656749853204277,1,433.67,1,0.3047726418639609
492,11,0.6267741747808766,1,433.67,1,0.3047726418639609
492,12,0.5981666600389132,1,433.67,1,0.3047726418639609
492,13,0.5708648626232861,1,433.67,1,0.3047726418639609
492,14,0.5448091863841141,1,433.67,1,0.3047726418639609
492,15,0.5199427552863595,1,433.67,1,0.3047726418639609
492,16,0.4962112892570966,1,433.67,1,0.3047726418639609
492,17,0.4735629856994175,1,433.67,1,0.3047726418639609
492,18,0.45194840641433354,1,433.67,1,0.3047726418639609
492,19,0.43132036968383947,1,433.67,1,0.3047726418639609
492,20,0.41163384727957264,1,433.67,1,0.3047726418639609
492,21,0.3928458661722489,1,433.67,1,0.3047726418639609
492,22,0.3749154147273229,1,433.67,1,0.3047726418639609
492,23,0.35780335318210865,1,433.67,1,0.3047726418639609
492,24,0.341472328208944,1,433.67,1,0.3047726418639609
492,25,0.3258866913779032,1,433.67,1,0.3047726418639609
492,26,0.3110124213410716,1,433.67,1,0.3047726418639609
492,27,0.29681704956852045,1,433.67,1,0.3047726418639609
492,28,0.28326958947387604,1,433.67,1,0.3047726418639609
492,29,0.27034046877477114,1,433.67,1,0.3047726418639609
492,30,0.2580014649405315,1,433.67,1,0.3047726418639609
492,31,0.24622564358619,1,433.67,1,0.3047726418639609
492,32,0.23498729967834794,1,433.67,1,0.3047726418639609
492,33,0.22426190142454666,1,433.67,1,0.3047726418639609
492,34,0.21402603672366552,1,433.67,1,0.3047726418639609
492,35,0.20425736206045553,1,433.67,1,0.3047726418639609
492,36,0.19493455373265248,1,433.67,1,0.3047726418639609
492,37,0.18603726130420398,1,433.67,1,0.3047726418639609
492,38,0.17754606318300636,1,433.67,1,0.3047726418639609
492,39,0.16944242422618255,1,433.67,1,0.3047726418639609
492,40,0.1617086552803589,1,433.67,1,0.3047726418639609
492,41,0.15432787456862446,1,433.67,1,0.3047726418639609
492,42,0.14728397083988307,1,433.67,1,0.3047726418639609
492,43,0.14056156820016055,1,433.67,1,0.3047726418639609
492,44,0.13414599254909704,1,433.67,1,0.3047726418639609
492,45,0.12802323954836076,1,433.67,1,0.3047726418639609
492,46,0.1221799440520617,1,433.67,1,0.3047726418639609
492,47,0.11660335093243673,1,433.67,1,0.3047726418639609
492,48,0.1112812872371222,1,433.67,1,0.3047726418639609
492,49,0.10620213561723678,1,433.67,1,0.3047726418639609
492,50,0.10135480896827219,1,433.67,1,0.3047726418639609
492,51,0.09672872622843623,1,433.67,1,0.3047726418639609
492,52,0.09231378928161843,1,433.67,1,0.3047726418639609
492,53,0.0881003609145615,1,433.67,1,0.3047726418639609
492,54,0.08407924378012192,1,433.67,1,0.3047726418639609
492,55,0.08024166032069831,1,433.67,1,0.3047726418639609
492,56,0.07657923360800463,1,433.67,1,0.3047726418639609
492,57,0.07308396905736299,1,433.67,1,0.3047726418639609
492,58,0.06974823697660097,1,433.67,1,0.3047726418639609
492,59,0.06656475591146033,1,433.67,1,0.3047726418639609
492,60,0.0635265767511622,1,433.67,1,0.3047726418639609
492,61,0.06062706755943346,1,433.67,1,0.3047726418639609
492,62,0.05785989909788212,1,433.67,1,0.3047726418639609
492,63,0.05521903101012169,1,433.67,1,0.3047726418639609
492,64,0.05269869863648607,1,433.67,1,0.3047726418639609
492,65,0.050293400430553095,1,433.67,1,0.3047726418639609
492,66,0.04799788595000907,1,433.67,1,0.3047726418639609
492,67,0.045807144395639814,1,433.67,1,0.3047726418639609
492,68,0.0437163936734301,1,433.67,1,0.3047726418639609
492,69,0.04172106995589601,1,433.67,1,0.3047726418639609
492,70,0.03981681771986371,1,433.67,1,0.3047726418639609
492,71,0.03799948023894836,1,433.67,1,0.3047726418639609
492,72,0.03626509050997986,1,433.67,1,0.3047726418639609
492,73,0.03460986259356866,1,433.67,1,0.3047726418639609
492,74,0.03303018334990966,1,433.67,1,0.3047726418639609
492,75,0.0315226045517841,1,433.67,1,0.3047726418639609
492,76,0.030083835357543567,1,433.67,1,0.3047726418639609
492,77,0.028710735127645604,1,433.67,1,0.3047726418639609
492,78,0.02740030656906009,1,433.67,1,0.3047726418639609
492,79,0.026149689192581947,1,433.67,1,0.3047726418639609
492,80,0.024956153068768163,1,433.67,1,0.3047726418639609
492,81,0.02381709286886909,1,433.67,1,0.3047726418639609
492,82,0.022730022177746417,1,433.67,1,0.3047726418639609
492,83,0.021692568066363528,1,433.67,1,0.3047726418639609
492,84,0.020702465912000683,1,433.67,1,0.3047726418639609
492,85,0.019757554454888377,1,433.67,1,0.3047726418639609
492,86,0.01885577108046814,1,433.67,1,0.3047726418639609
492,87,0.0179951473169824,1,433.67,1,0.3047726418639609
492,88,0.01717380453856566,1,433.67,1,0.3047726418639609
492,89,0.01638994986445697,1,433.67,1,0.3047726418639609
492,90,0.01564187224538241,1,433.67,1,0.3047726418639609
492,91,0.01492793872856492,1,433.67,1,0.3047726418639609
492,92,0.01424659089320804,1,433.67,1,0.3047726418639609
492,93,0.013596341448672998,1,433.67,1,0.3047726418639609
492,94,0.01297577098792345,1,433.67,1,0.3047726418639609
492,95,0.0123835248891509,1,433.67,1,0.3047726418639609
492,96,0.01181831035881753,1,433.67,1,0.3047726418639609
492,97,0.011278893609661946,1,433.67,1,0.3047726418639609
492,98,0.01076409716750757,1,433.67,1,0.3047726418639609
492,99,0.010272797300994951,1,433.67,1,0.3047726418639609
492,100,0.009803921568627453,1,433.67,1,0.3047726418639609
