Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
464,1,1.0,110,110 wavelengths,3,0.3893273205561819
464,2,0.954357540733128,68,68 wavelengths,3,0.3893273205561819
464,3,0.9107983155541839,41,41 wavelengths,3,0.38895152198421645
464,4,0.8692272405361663,26,26 wavelengths,3,0.3881999248402856
464,5,0.8295535716163387,14,14 wavelengths,3,0.3836903419767005
464,6,0.7916907065141517,11,11 wavelengths,3,0.37805336339721907
464,7,0.7555559956901182,5,"414.29, 472.48, 703.78, 1214.99, 1472.12",3,0.4295377677564825
464,8,0.721070561932991,2,"414.29, 703.78",2,0.3468620819240887
464,9,0.6881591281814239,1,414.29,1,0.21007140172867342
464,10,0.656749853204277,1,414.29,1,0.21007140172867342
464,11,0.6267741747808766,1,414.29,1,0.21007140172867342
464,12,0.5981666600389132,1,414.29,1,0.21007140172867342
464,13,0.5708648626232861,1,414.29,1,0.21007140172867342
464,14,0.5448091863841141,1,414.29,1,0.21007140172867342
464,15,0.5199427552863595,1,414.29,1,0.21007140172867342
464,16,0.4962112892570966,1,414.29,1,0.21007140172867342
464,17,0.4735629856994175,1,414.29,1,0.21007140172867342
464,18,0.45194840641433354,1,414.29,1,0.21007140172867342
464,19,0.43132036968383947,1,414.29,1,0.21007140172867342
464,20,0.41163384727957264,1,414.29,1,0.21007140172867342
464,21,0.3928458661722489,1,414.29,1,0.21007140172867342
464,22,0.3749154147273229,1,414.29,1,0.21007140172867342
464,23,0.35780335318210865,1,414.29,1,0.21007140172867342
464,24,0.341472328208944,1,414.29,1,0.21007140172867342
464,25,0.3258866913779032,1,414.29,1,0.21007140172867342
464,26,0.3110124213410716,1,414.29,1,0.21007140172867342
464,27,0.29681704956852045,1,414.29,1,0.21007140172867342
464,28,0.28326958947387604,1,414.29,1,0.21007140172867342
464,29,0.27034046877477114,1,414.29,1,0.21007140172867342
464,30,0.2580014649405315,1,414.29,1,0.21007140172867342
464,31,0.24622564358619,1,414.29,1,0.21007140172867342
464,32,0.23498729967834794,1,414.29,1,0.21007140172867342
464,33,0.22426190142454666,1,414.29,1,0.21007140172867342
464,34,0.21402603672366552,1,414.29,1,0.21007140172867342
464,35,0.20425736206045553,1,414.29,1,0.21007140172867342
464,36,0.19493455373265248,1,414.29,1,0.21007140172867342
464,37,0.18603726130420398,1,414.29,1,0.21007140172867342
464,38,0.17754606318300636,1,414.29,1,0.21007140172867342
464,39,0.16944242422618255,1,414.29,1,0.21007140172867342
464,40,0.1617086552803589,1,414.29,1,0.21007140172867342
464,41,0.15432787456862446,1,414.29,1,0.21007140172867342
464,42,0.14728397083988307,1,414.29,1,0.21007140172867342
464,43,0.14056156820016055,1,414.29,1,0.21007140172867342
464,44,0.13414599254909704,1,414.29,1,0.21007140172867342
464,45,0.12802323954836076,1,414.29,1,0.21007140172867342
464,46,0.1221799440520617,1,414.29,1,0.21007140172867342
464,47,0.11660335093243673,1,414.29,1,0.21007140172867342
464,48,0.1112812872371222,1,414.29,1,0.21007140172867342
464,49,0.10620213561723678,1,414.29,1,0.21007140172867342
464,50,0.10135480896827219,1,414.29,1,0.21007140172867342
464,51,0.09672872622843623,1,414.29,1,0.21007140172867342
464,52,0.09231378928161843,1,414.29,1,0.21007140172867342
464,53,0.0881003609145615,1,414.29,1,0.21007140172867342
464,54,0.08407924378012192,1,414.29,1,0.21007140172867342
464,55,0.08024166032069831,1,414.29,1,0.21007140172867342
464,56,0.07657923360800463,1,414.29,1,0.21007140172867342
464,57,0.07308396905736299,1,414.29,1,0.21007140172867342
464,58,0.06974823697660097,1,414.29,1,0.21007140172867342
464,59,0.06656475591146033,1,414.29,1,0.21007140172867342
464,60,0.0635265767511622,1,414.29,1,0.21007140172867342
464,61,0.06062706755943346,1,414.29,1,0.21007140172867342
464,62,0.05785989909788212,1,414.29,1,0.21007140172867342
464,63,0.05521903101012169,1,414.29,1,0.21007140172867342
464,64,0.05269869863648607,1,414.29,1,0.21007140172867342
464,65,0.050293400430553095,1,414.29,1,0.21007140172867342
464,66,0.04799788595000907,1,414.29,1,0.21007140172867342
464,67,0.045807144395639814,1,414.29,1,0.21007140172867342
464,68,0.0437163936734301,1,414.29,1,0.21007140172867342
464,69,0.04172106995589601,1,414.29,1,0.21007140172867342
464,70,0.03981681771986371,1,414.29,1,0.21007140172867342
464,71,0.03799948023894836,1,414.29,1,0.21007140172867342
464,72,0.03626509050997986,1,414.29,1,0.21007140172867342
464,73,0.03460986259356866,1,414.29,1,0.21007140172867342
464,74,0.03303018334990966,1,414.29,1,0.21007140172867342
464,75,0.0315226045517841,1,414.29,1,0.21007140172867342
464,76,0.030083835357543567,1,414.29,1,0.21007140172867342
464,77,0.028710735127645604,1,414.29,1,0.21007140172867342
464,78,0.02740030656906009,1,414.29,1,0.21007140172867342
464,79,0.026149689192581947,1,414.29,1,0.21007140172867342
464,80,0.024956153068768163,1,414.29,1,0.21007140172867342
464,81,0.02381709286886909,1,414.29,1,0.21007140172867342
464,82,0.022730022177746417,1,414.29,1,0.21007140172867342
464,83,0.021692568066363528,1,414.29,1,0.21007140172867342
464,84,0.020702465912000683,1,414.29,1,0.21007140172867342
464,85,0.019757554454888377,1,414.29,1,0.21007140172867342
464,86,0.01885577108046814,1,414.29,1,0.21007140172867342
464,87,0.0179951473169824,1,414.29,1,0.21007140172867342
464,88,0.01717380453856566,1,414.29,1,0.21007140172867342
464,89,0.01638994986445697,1,414.29,1,0.21007140172867342
464,90,0.01564187224538241,1,414.29,1,0.21007140172867342
464,91,0.01492793872856492,1,414.29,1,0.21007140172867342
464,92,0.01424659089320804,1,414.29,1,0.21007140172867342
464,93,0.013596341448672998,1,414.29,1,0.21007140172867342
464,94,0.01297577098792345,1,414.29,1,0.21007140172867342
464,95,0.0123835248891509,1,414.29,1,0.21007140172867342
464,96,0.01181831035881753,1,414.29,1,0.21007140172867342
464,97,0.011278893609661946,1,414.29,1,0.21007140172867342
464,98,0.01076409716750757,1,414.29,1,0.21007140172867342
464,99,0.010272797300994951,1,414.29,1,0.21007140172867342
464,100,0.009803921568627453,1,414.29,1,0.21007140172867342
